fixture_id,date,home_team,away_team,home_score,away_score,status
755735,2021-09-11T15:15:00+00:00,Panetolikos,Asteras Tripolis,0,0,Match Finished
755734,2021-09-11T17:30:00+00:00,Panathinaikos,Apollon Smirnis,4,0,Match Finished
755732,2021-09-12T15:15:00+00:00,Volos NFC,Lamia,2,1,Match Finished
755736,2021-09-12T16:00:00+00:00,PAOK,PAS Giannina,0,1,Match Finished
755733,2021-09-12T17:30:00+00:00,Olympiakos Piraeus,Atromitos,0,0,Match Finished
755730,2021-09-12T17:30:00+00:00,AEK Athens FC,Ionikos,3,0,Match Finished
755731,2021-09-13T16:30:00+00:00,Aris Thessalonikis,OFI,0,0,Match Finished
755741,2021-09-17T16:00:00+00:00,Ionikos,Aris Thessalonikis,1,0,Match Finished
755737,2021-09-18T17:30:00+00:00,PAS Giannina,Panathinaikos,1,0,Match Finished
755738,2021-09-19T13:00:00+00:00,Apollon Smirnis,Volos NFC,1,3,Match Finished
755742,2021-09-19T15:15:00+00:00,OFI,AEK Athens FC,3,3,Match Finished
755740,2021-09-19T15:15:00+00:00,Atromitos,Panetolikos,1,2,Match Finished
755739,2021-09-19T17:30:00+00:00,Asteras Tripolis,PAOK,0,1,Match Finished
755743,2021-09-19T17:30:00+00:00,Lamia,Olympiakos Piraeus,1,2,Match Finished
755748,2021-09-22T15:15:00+00:00,Olympiakos Piraeus,Apollon Smirnis,4,1,Match Finished
755750,2021-09-22T15:15:00+00:00,Panetolikos,PAOK,1,2,Match Finished
755749,2021-09-22T15:15:00+00:00,OFI,Asteras Tripolis,0,0,Match Finished
755744,2021-09-22T17:30:00+00:00,AEK Athens FC,Lamia,1,0,Match Finished
755745,2021-09-22T17:30:00+00:00,Aris Thessalonikis,Panathinaikos,1,0,Match Finished
755747,2021-09-23T15:15:00+00:00,Ionikos,PAS Giannina,0,0,Match Finished
755746,2021-09-23T17:30:00+00:00,Volos NFC,Atromitos,3,0,Match Finished
755755,2021-09-26T13:00:00+00:00,Panathinaikos,Volos NFC,5,1,Match Finished
755753,2021-09-26T13:00:00+00:00,Asteras Tripolis,Olympiakos Piraeus,0,2,Match Finished
755757,2021-09-26T15:15:00+00:00,Lamia,Panetolikos,2,2,Match Finished
755756,2021-09-26T17:30:00+00:00,PAOK,AEK Athens FC,2,0,Match Finished
755751,2021-09-27T14:15:00+00:00,PAS Giannina,OFI,1,1,Match Finished
755752,2021-09-27T16:30:00+00:00,Apollon Smirnis,Ionikos,0,0,Match Finished
755754,2021-09-27T16:30:00+00:00,Atromitos,Aris Thessalonikis,1,3,Match Finished
755760,2021-10-02T13:00:00+00:00,Volos NFC,Asteras Tripolis,2,1,Match Finished
755758,2021-10-02T17:30:00+00:00,Aris Thessalonikis,Apollon Smirnis,0,0,Match Finished
755764,2021-10-03T13:00:00+00:00,Panetolikos,AEK Athens FC,1,3,Match Finished
755759,2021-10-03T13:00:00+00:00,Atromitos,PAS Giannina,1,1,Match Finished
755763,2021-10-03T15:15:00+00:00,OFI,PAOK,1,3,Match Finished
755762,2021-10-03T17:30:00+00:00,Olympiakos Piraeus,Panathinaikos,0,0,Match Finished
755761,2021-10-03T17:30:00+00:00,Ionikos,Lamia,1,2,Match Finished
755767,2021-10-16T15:15:00+00:00,Apollon Smirnis,Asteras Tripolis,0,1,Match Finished
755768,2021-10-16T17:30:00+00:00,Panathinaikos,Ionikos,4,1,Match Finished
755770,2021-10-17T13:00:00+00:00,PAOK,Volos NFC,4,4,Match Finished
755769,2021-10-17T13:00:00+00:00,Panetolikos,OFI,1,2,Match Finished
755765,2021-10-17T17:30:00+00:00,AEK Athens FC,Atromitos,3,0,Match Finished
755766,2021-10-17T17:30:00+00:00,PAS Giannina,Olympiakos Piraeus,1,2,Match Finished
755771,2021-10-18T16:30:00+00:00,Lamia,Aris Thessalonikis,0,1,Match Finished
755775,2021-10-23T15:15:00+00:00,Atromitos,Ionikos,0,2,Match Finished
755772,2021-10-23T16:00:00+00:00,Apollon Smirnis,PAS Giannina,1,0,Match Finished
755774,2021-10-23T17:30:00+00:00,Asteras Tripolis,Panathinaikos,2,1,Match Finished
